outbound_miles,base_std_hrs,base_std_billable_amt
0,0,0
1,1.25,238
2,1.25,238
3,1.25,238
4,1.25,238
5,1.25,238
6,1.25,238
7,1.25,238
8,1.25,238
9,1.25,238
10,1.25,238
11,1.25,238
12,1.25,238
13,1.75,246
14,1.75,246
15,1.75,246
16,1.75,246
17,1.75,246
18,1.75,246
19,1.75,246
20,1.75,246
21,1.75,246
22,1.75,246
23,1.75,246
24,1.75,246
25,2.25,253
26,2.25,253
27,2.25,253
28,2.25,253
29,2.25,253
30,2.25,253
31,2.25,253
32,2.25,253
33,2.25,253
34,2.25,253
35,2.25,253
36,2.25,253
37,2.75,309
38,2.75,309
39,2.75,309
40,2.75,309
41,2.75,309
42,2.75,309
43,2.75,309
44,2.75,309
45,2.75,309
46,2.75,309
47,2.75,309
48,2.75,309
49,3,337
50,3,337
51,3,337
52,3,337
53,3,337
54,3,337
55,3,337
56,3,337
57,3,337
58,3,337
59,3,337
60,3,337
61,3,337
62,3,337
63,3,337
64,3.5,393
65,3.5,393
66,3.5,393
67,3.5,393
68,3.5,393
69,3.5,393
70,3.5,393
71,3.5,393
72,3.5,393
73,3.5,393
74,3.5,393
75,3.5,393
76,3.5,393
77,3.5,393
78,4,450
79,4,450
80,4,450
81,4,450
82,4,450
83,4,450
84,4,450
85,4,450
86,4,450
87,4,450
88,4,450
89,4,450
90,4,450
91,4,450
92,4.5,506
93,4.5,506
94,4.5,506
95,4.5,506
96,4.5,506
97,4.5,506
98,4.5,506
99,4.5,506
100,4.5,506
101,4.5,506
102,4.5,506
103,4.5,506
104,4.5,506
105,4.5,506
106,5,562
107,5,562
108,5,562
109,5,562
110,5,562
111,5,562
112,5,562
113,5,562
114,5,562
115,5,562
116,5,562
117,5,562
118,5,562
119,5,562
120,5.25,590
121,5.25,590
122,5.25,590
123,5.25,590
124,5.25,590
125,5.25,590
126,5.25,590
127,5.25,590
128,5.25,590
129,5.25,590
130,5.25,590
131,5.25,590
132,5.25,590
133,5.25,590
134,5.25,590
135,5.25,590
136,5.75,646
137,5.75,646
138,5.75,646
139,5.75,646
140,5.75,646
141,5.75,646
142,5.75,646
143,5.75,646
144,5.75,646
145,5.75,646
146,5.75,646
147,5.75,646
148,5.75,646
149,5.75,646
150,5.75,646
151,6.25,702
152,6.25,702
153,6.25,702
154,6.25,702
155,6.25,702
156,6.25,702
157,6.25,702
158,6.25,702
159,6.25,702
160,6.25,702
161,6.25,702
162,6.25,702
163,6.25,702
164,6.25,702
165,6.25,702
166,6.75,758
167,6.75,758
168,6.75,758
169,6.75,758
170,6.75,758
171,6.75,758
172,6.75,758
173,6.75,758
174,6.75,758
175,6.75,758
176,6.75,758
177,6.75,758
178,6.75,758
179,6.75,758
180,6.75,758
181,7.25,814
182,7.25,814
183,7.25,814
184,7.25,814
185,7.25,814
186,7.25,814
187,7.25,814
188,7.25,814
189,7.25,814
190,7.25,814
191,7.25,814
192,7.25,814
193,7.25,814
194,7.25,814
195,7.25,814
196,7.75,871
197,7.75,871
198,7.75,871
199,7.75,871
200,7.75,871
201,7.75,871
202,7.75,871
203,7.75,871
204,7.75,871
205,7.75,871
206,7.75,871
207,7.75,871
208,7.75,871
209,7.75,871
210,7.75,871
211,8.25,927
212,8.25,927
213,8.25,927
214,8.25,927
215,8.25,927
216,8.25,927
217,8.25,927
218,8.25,927
219,8.25,927
220,8.25,927
221,8.25,927
222,8.25,927
223,8.25,927
224,8.25,927
225,8.25,927
226,8.75,983
227,8.75,983
228,8.75,983
229,8.75,983
230,8.75,983
231,8.75,983
232,8.75,983
233,8.75,983
234,8.75,983
235,8.75,983
236,8.75,983
237,8.75,983
238,8.75,983
239,8.75,983
240,8.75,983
241,9.25,1039
242,9.25,1039
243,9.25,1039
244,9.25,1039
245,9.25,1039
246,9.25,1039
247,9.25,1039
248,9.25,1039
249,9.25,1039
250,9.25,1039
251,9.25,1039
252,9.25,1039
253,9.25,1039
254,9.25,1039
255,9.25,1039
256,9.75,1095
257,9.75,1095
258,9.75,1095
259,9.75,1095
260,9.75,1095
261,9.75,1095
262,9.75,1095
263,9.75,1095
264,9.75,1095
265,9.75,1095
266,9.75,1095
267,9.75,1095
268,9.75,1095
269,9.75,1095
270,9.75,1095
271,10.25,1151
272,10.25,1151
273,10.25,1151
274,10.25,1151
275,10.25,1151
276,10.25,1151
277,10.25,1151
278,10.25,1151
279,10.25,1151
280,10.25,1151
281,10.25,1151
282,10.25,1151
283,10.25,1151
284,10.25,1151
285,10.25,1151
286,10.75,1207
287,10.75,1207
288,10.75,1207
289,10.75,1207
290,10.75,1207
291,10.75,1207
292,10.75,1207
293,10.75,1207
294,10.75,1207
295,10.75,1207
296,10.75,1207
297,10.75,1207
298,10.75,1207
299,10.75,1207
300,10.75,1207
301,11.25,1263
302,11.25,1263
303,11.25,1263
304,11.25,1263
305,11.25,1263
306,11.25,1263
307,11.25,1263
308,11.25,1263
309,11.25,1263
310,11.25,1263
311,11.25,1263
312,11.25,1263
313,11.25,1263
314,11.25,1263
315,11.25,1263
316,11.75,1320
317,11.75,1320
318,11.75,1320
319,11.75,1320
320,11.75,1320
321,11.75,1320
322,11.75,1320
323,11.75,1320
324,11.75,1320
325,11.75,1320
326,11.75,1320
327,11.75,1320
328,11.75,1320
329,11.75,1320
330,11.75,1320
331,12.25,1376
332,12.25,1376
333,12.25,1376
334,12.25,1376
335,12.25,1376
336,12.25,1376
337,12.25,1376
338,12.25,1376
339,12.25,1376
340,12.25,1376
341,12.25,1376
342,12.25,1376
343,12.25,1376
344,12.25,1376
345,12.25,1376
346,12.75,1432
347,12.75,1432
348,12.75,1432
349,12.75,1432
350,12.75,1432
351,12.75,1432
352,12.75,1432
353,12.75,1432
354,12.75,1432
355,12.75,1432
356,12.75,1432
357,12.75,1432
358,12.75,1432
359,12.75,1432
360,12.75,1432
361,13,1460
362,13,1460
363,13,1460
364,13,1460
365,13,1460
366,13,1460
367,13,1460
368,13,1460
369,13,1460
370,13,1460
371,13,1460
372,13,1460
373,13,1460
374,13,1460
375,13,1460
376,13,1460
377,13,1460
378,13,1460
379,13,1460
380,13,1460
381,13,1460
382,13,1460
383,13,1460
384,13,1460
385,13,1460
386,13,1460
387,13,1460
388,13,1460
389,13,1460
390,13,1460
391,13,1460
392,13,1460
393,13.5,1516
394,13.5,1516
395,13.5,1516
396,13.5,1516
397,13.5,1516
398,13.5,1516
399,13.5,1516
400,13.5,1516
401,13.5,1516
402,13.5,1516
403,13.5,1516
404,13.5,1516
405,13.5,1516
406,13.5,1516
407,13.5,1516
408,13.5,1516
409,14,1572
410,14,1572
411,14,1572
412,14,1572
413,14,1572
414,14,1572
415,14,1572
416,14,1572
417,14,1572
418,14,1572
419,14,1572
420,14,1572
421,14,1572
422,14,1572
423,14,1572
424,14,1572
425,14.5,1628
426,14.5,1628
427,14.5,1628
428,14.5,1628
429,14.5,1628
430,14.5,1628
431,14.5,1628
432,14.5,1628
433,14.5,1628
434,14.5,1628
435,14.5,1628
436,14.5,1628
437,14.5,1628
438,14.5,1628
439,14.5,1628
440,14.5,1628
441,15,1684
442,15,1684
443,15,1684
444,15,1684
445,15,1684
446,15,1684
447,15,1684
448,15,1684
449,15,1684
450,15,1684
451,15,1684
452,15,1684
453,15,1684
454,15,1684
455,15,1684
456,15,1684
457,15.5,1741
458,15.5,1741
459,15.5,1741
460,15.5,1741
461,15.5,1741
462,15.5,1741
463,15.5,1741
464,15.5,1741
465,15.5,1741
466,15.5,1741
467,15.5,1741
468,15.5,1741
469,15.5,1741
470,15.5,1741
471,15.5,1741
472,15.5,1741
473,16,1797
474,16,1797
475,16,1797
