outbound_miles,base_std_hrs,base_std_billable_amt
0,0,0
1,2.25,253
2,2.25,253
3,2.25,253
4,2.25,253
5,2.25,253
6,2.25,253
7,2.25,253
8,2.25,253
9,2.25,253
10,2.25,253
11,2.25,253
12,2.25,253
13,2.75,309
14,2.75,309
15,2.75,309
16,2.75,309
17,2.75,309
18,2.75,309
19,2.75,309
20,2.75,309
21,2.75,309
22,2.75,309
23,2.75,309
24,2.75,309
25,3.25,365
26,3.25,365
27,3.25,365
28,3.25,365
29,3.25,365
30,3.25,365
31,3.25,365
32,3.25,365
33,3.25,365
34,3.25,365
35,3.25,365
36,3.25,365
37,3.75,421
38,3.75,421
39,3.75,421
40,3.75,421
41,3.75,421
42,3.75,421
43,3.75,421
44,3.75,421
45,3.75,421
46,3.75,421
47,3.75,421
48,3.75,421
49,4,450
50,4,450
51,4,450
52,4,450
53,4,450
54,4,450
55,4,450
56,4,450
57,4,450
58,4,450
59,4,450
60,4,450
61,4,450
62,4,450
63,4,450
64,4.5,506
65,4.5,506
66,4.5,506
67,4.5,506
68,4.5,506
69,4.5,506
70,4.5,506
71,4.5,506
72,4.5,506
73,4.5,506
74,4.5,506
75,4.5,506
76,4.5,506
77,4.5,506
78,5,562
79,5,562
80,5,562
81,5,562
82,5,562
83,5,562
84,5,562
85,5,562
86,5,562
87,5,562
88,5,562
89,5,562
90,5,562
91,5,618
92,5.5,618
93,5.5,618
94,5.5,618
95,5.5,618
96,5.5,618
97,5.5,618
98,5.5,618
99,5.5,618
100,5.5,618
101,5.5,618
102,5.5,618
103,5.5,618
104,5.5,618
105,5.5,618
106,6,674
107,6,674
108,6,674
109,6,674
110,6,674
111,6,674
112,6,674
113,6,674
114,6,674
115,6,674
116,6,674
117,6,674
118,6,674
119,6,674
120,6.25,702
121,6.25,702
122,6.25,702
123,6.25,702
124,6.25,702
125,6.25,702
126,6.25,702
127,6.25,702
128,6.25,702
129,6.25,702
130,6.25,702
131,6.25,702
132,6.25,702
133,6.25,702
134,6.25,702
135,6.25,702
136,6.75,758
137,6.75,758
138,6.75,758
139,6.75,758
140,6.75,758
141,6.75,758
142,6.75,758
143,6.75,758
144,6.75,758
145,6.75,758
146,6.75,758
147,6.75,758
148,6.75,758
149,6.75,758
150,6.75,758
151,7.25,814
152,7.25,814
153,7.25,814
154,7.25,814
155,7.25,814
156,7.25,814
157,7.25,814
158,7.25,814
159,7.25,814
160,7.25,814
161,7.25,814
162,7.25,814
163,7.25,814
164,7.25,814
165,7.25,814
166,7.75,871
167,7.75,871
168,7.75,871
169,7.75,871
170,7.75,871
171,7.75,871
172,7.75,871
173,7.75,871
174,7.75,871
175,7.75,871
176,7.75,871
177,7.75,871
178,7.75,871
179,7.75,871
180,7.75,871
181,8.25,927
182,8.25,927
183,8.25,927
184,8.25,927
185,8.25,927
186,8.25,927
187,8.25,927
188,8.25,927
189,8.25,927
190,8.25,927
191,8.25,927
192,8.25,927
193,8.25,927
194,8.25,927
195,8.25,927
196,8.75,983
197,8.75,983
198,8.75,983
199,8.75,983
200,8.75,983
201,8.75,983
202,8.75,983
203,8.75,983
204,8.75,983
205,8.75,983
206,8.75,983
207,8.75,983
208,8.75,983
209,8.75,983
210,8.75,983
211,9.25,1039
212,9.25,1039
213,9.25,1039
214,9.25,1039
215,9.25,1039
216,9.25,1039
217,9.25,1039
218,9.25,1039
219,9.25,1039
220,9.25,1039
221,9.25,1039
222,9.25,1039
223,9.25,1039
224,9.25,1039
225,9.25,1039
226,9.75,1095
227,9.75,1095
228,9.75,1095
229,9.75,1095
230,9.75,1095
231,9.75,1095
232,9.75,1095
233,9.75,1095
234,9.75,1095
235,9.75,1095
236,9.75,1095
237,9.75,1095
238,9.75,1095
239,9.75,1095
240,9.75,1095
241,10.25,1151
242,10.25,1151
243,10.25,1151
244,10.25,1151
245,10.25,1151
246,10.25,1151
247,10.25,1151
248,10.25,1151
249,10.25,1151
250,10.25,1151
251,10.25,1151
252,10.25,1151
253,10.25,1151
254,10.25,1151
255,10.25,1151
256,10.75,1207
257,10.75,1207
258,10.75,1207
259,10.75,1207
260,10.75,1207
261,10.75,1207
262,10.75,1207
263,10.75,1207
264,10.75,1207
265,10.75,1207
266,10.75,1207
267,10.75,1207
268,10.75,1207
269,10.75,1207
270,10.75,1207
271,11.25,1263
272,11.25,1263
273,11.25,1263
274,11.25,1263
275,11.25,1263
276,11.25,1263
277,11.25,1263
278,11.25,1263
279,11.25,1263
280,11.25,1263
281,11.25,1263
282,11.25,1263
283,11.25,1263
284,11.25,1263
285,11.25,1263
286,11.75,1320
287,11.75,1320
288,11.75,1320
289,11.75,1320
290,11.75,1320
291,11.75,1320
292,11.75,1320
293,11.75,1320
294,11.75,1320
295,11.75,1320
296,11.75,1320
297,11.75,1320
298,11.75,1320
299,11.75,1320
300,11.75,1320
301,12.25,1376
302,12.25,1376
303,12.25,1376
304,12.25,1376
305,12.25,1376
306,12.25,1376
307,12.25,1376
308,12.25,1376
309,12.25,1376
310,12.25,1376
311,12.25,1376
312,12.25,1376
313,12.25,1376
314,12.25,1376
315,12.25,1376
316,12.75,1432
317,12.75,1432
318,12.75,1432
319,12.75,1432
320,12.75,1432
321,12.75,1432
322,12.75,1432
323,12.75,1432
324,12.75,1432
